1|AboutEvent|class in java.awt.desktop|java.desktop/java/awt/desktop/AboutEvent.html|Event sent when the application is asked to open its about window.
2|AboutHandler|interface in java.awt.desktop|java.desktop/java/awt/desktop/AboutHandler.html|An implementer receives notification when the app is asked to show its about dialog.
3|AbsentInformationException|class in com.sun.jdi|jdk.jdi/com/sun/jdi/AbsentInformationException.html|Thrown to indicate line number or variable information is not available.
4|AbstractAction|class in javax.swing|java.desktop/javax/swing/AbstractAction.html|This class provides default implementations for the JFC Action interface.
5|AbstractAnnotationValueVisitor14<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitor14.html|A skeletal visitor for annotation values with default behavior appropriate for source version RELEASE_14.
6|AbstractAnnotationValueVisitor6<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitor6.html|A skeletal visitor for annotation values with default behavior appropriate for the RELEASE_6 source version.
7|AbstractAnnotationValueVisitor7<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitor7.html|A skeletal visitor for annotation values with default behavior appropriate for the RELEASE_7 source version.
8|AbstractAnnotationValueVisitor8<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitor8.html|A skeletal visitor for annotation values with default behavior appropriate for the RELEASE_8 source version.
9|AbstractAnnotationValueVisitor9<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitor9.html|A skeletal visitor for annotation values with default behavior appropriate for source versions RELEASE_9 through RELEASE_14.
10|AbstractAnnotationValueVisitorPreview<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractAnnotationValueVisitorPreview.html|Preview.A skeletal visitor for annotation values with default behavior appropriate for a preview source version.
11|AbstractBorder|class in javax.swing.border|java.desktop/javax/swing/border/AbstractBorder.html|A class that implements an empty border with no size.
12|AbstractButton|class in javax.swing|java.desktop/javax/swing/AbstractButton.html|Defines common behaviors for buttons and menu items.
13|AbstractCellEditor|class in javax.swing|java.desktop/javax/swing/AbstractCellEditor.html|A base class for CellEditors, providing default implementations for the methods in the CellEditor interface except getCellEditorValue().
14|AbstractChronology|class in java.time.chrono|java.base/java/time/chrono/AbstractChronology.html|An abstract implementation of a calendar system, used to organize and identify dates.
15|AbstractCollection<E>|class in java.util|java.base/java/util/AbstractCollection.html|This class provides a skeletal implementation of the Collection interface, to minimize the effort required to implement this interface.
16|AbstractColorChooserPanel|class in javax.swing.colorchooser|java.desktop/javax/swing/colorchooser/AbstractColorChooserPanel.html|This is the abstract superclass for color choosers.
17|AbstractDocument|class in javax.swing.text|java.desktop/javax/swing/text/AbstractDocument.html|An implementation of the document interface to serve as a basis for implementing various kinds of documents.
18|AbstractDocument.AttributeContext|interface in javax.swing.text|java.desktop/javax/swing/text/AbstractDocument.AttributeContext.html|An interface that can be used to allow MutableAttributeSet implementations to use pluggable attribute compression techniques.
19|AbstractDocument.Content|interface in javax.swing.text|java.desktop/javax/swing/text/AbstractDocument.Content.html|Interface to describe a sequence of character content that can be edited.
20|AbstractDocument.ElementEdit|class in javax.swing.text|java.desktop/javax/swing/text/AbstractDocument.ElementEdit.html|An implementation of ElementChange that can be added to the document event.
